game_id,season,week,season_type,team,opponent,home_away,layer,statistic,official_value,reconstructed_value,raw_difference,absolute_difference,root_cause
401752743,2025,8,regular,Texas,Kentucky,away,canon,net_pass_yards,132,138.0,6.0,6.0,fumble_or_safety_swallows_scrimmage_type
401752879,2025,8,regular,UCLA,Maryland,home,canon,total_plays,70,72,2,2,fumble_or_safety_swallows_scrimmage_type
401752879,2025,8,regular,UCLA,Maryland,home,canon,total_yards,414,437.0,23.0,23.0,fumble_or_safety_swallows_scrimmage_type
401752879,2025,8,regular,UCLA,Maryland,home,canon,pass_attempts,35,36,1,1,fumble_or_safety_swallows_scrimmage_type
401752879,2025,8,regular,UCLA,Maryland,home,canon,completions,21,22,1,1,accepted_or_declined_penalty
401752879,2025,8,regular,UCLA,Maryland,home,canon,net_pass_yards,221,266.0,45.0,45.0,fumble_or_safety_swallows_scrimmage_type
401752879,2025,8,regular,UCLA,Maryland,home,canon,rush_attempts,35,36,1,1,fumble_or_safety_swallows_scrimmage_type
401752879,2025,8,regular,UCLA,Maryland,home,canon,rush_yards,193,171.0,-22.0,22.0,fumble_or_safety_swallows_scrimmage_type
401752879,2025,8,regular,UCLA,Maryland,home,canon,turnovers,3,2,-1,1,accepted_or_declined_penalty
401752879,2025,8,regular,UCLA,Maryland,home,canon,fumbles_lost,1,0,-1,1,accepted_or_declined_penalty
401752879,2025,8,regular,UCLA,Maryland,home,canon,third_down_attempts,17,18,1,1,accepted_or_declined_penalty
401752879,2025,8,regular,Maryland,UCLA,away,canon,total_plays,74,76,2,2,fumble_or_safety_swallows_scrimmage_type
401752879,2025,8,regular,Maryland,UCLA,away,canon,total_yards,337,375.0,38.0,38.0,fumble_or_safety_swallows_scrimmage_type
401752879,2025,8,regular,Maryland,UCLA,away,canon,pass_attempts,48,50,2,2,fumble_or_safety_swallows_scrimmage_type
401752879,2025,8,regular,Maryland,UCLA,away,canon,net_pass_yards,210,248.0,38.0,38.0,fumble_or_safety_swallows_scrimmage_type
401752879,2025,8,regular,Maryland,UCLA,away,canon,turnovers,2,0,-2,2,accepted_or_declined_penalty
401752879,2025,8,regular,Maryland,UCLA,away,canon,interceptions,1,0,-1,1,accepted_or_declined_penalty
401752879,2025,8,regular,Maryland,UCLA,away,canon,fumbles_lost,1,0,-1,1,accepted_or_declined_penalty
401752879,2025,8,regular,Maryland,UCLA,away,canon,third_down_attempts,17,20,3,3,accepted_or_declined_penalty
401752879,2025,8,regular,Maryland,UCLA,away,canon,third_down_conversions,6,9,3,3,accepted_or_declined_penalty
401752875,2025,8,regular,Iowa,Penn State,home,canon,total_plays,49,47,-2,2,no_play_penalty
401752875,2025,8,regular,Iowa,Penn State,home,canon,total_yards,313,311.0,-2.0,2.0,no_play_penalty
401752875,2025,8,regular,Iowa,Penn State,home,canon,pass_attempts,16,15,-1,1,no_play_penalty
401752875,2025,8,regular,Iowa,Penn State,home,canon,rush_attempts,33,32,-1,1,no_play_penalty
